Nombre_Articulo,Temperatura,Peso_Bruto,Volumen,Cantidad,Precio_unitario,Precio_descontado,Total_Linea_Soles
SD FELINE ADULT INDOOR 15.5 LB .7 K.,Hasta 30 grados,7.03,0.02856,2,192.75,154.2,308.4
SD KITTEN H. DEVELOPMENT 15.5 LB .7 K.,Hasta 30 grados,7.03,0.033,1,211.86,169.49,169.49
PD CANINE C.D MULTICARE 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.017,2,119.81,95.85,191.7
CAT IT MULTI COMEDERO .43741W.ES.,Hasta 30 grados,0.4616,0.004239,1,30.93,24.74,24.74
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,2,119.81,95.85,191.7
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,1,102.53,82.02,82.02
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,3,119.81,95.85,287.54
SD CANINE ADULT L.R SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0195,1,153.22,122.58,122.58
SD PUPPY H. DEVELOPMENT SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0053,3,59.54,47.63,142.9
SD PUPPY SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,1,158,126.4,126.4
SD CANINE ADULT L.R SMB 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0195,1,153.22,122.58,122.58
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,1,143.64,114.91,114.91
PD FELINE W.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00544,1,73.22,58.58,58.58
PD FELINE S.D DRY 4 LB .1.8 K.,Hasta 30 grados,1.8,0.00526,1,80.06,64.05,64.05
PD CANINE I.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.011172,1,112.82,90.26,90.26
SD FELINE ADULT OPTIMAL CARE 7LB .3.2 K.,Hasta 30 grados,3.18,0.0054,2,106.63,85.3,170.61
SD CANINE 7 . ACTIVE LONGEVITY SMALL . TOY 4.5 LB .2 K.,Hasta 30 grados,3.04,0.008,2,59.54,47.63,95.26
PD CANINE I.D 17.6 LB .8 K.,Hasta 30 grados,8.12,0.022,1,201.31,161.05,161.05
DOG IT VOYAGEUR 200 ROSADO .56.5X37.6X30.8. .76618.,Hasta 30 grados,1.706,0.021941,1,119.17,95.34,95.34
CAT IT MULTI COMEDERO .43741W.ES.,Hasta 30 grados,0.4616,0.004239,1,30.93,24.74,24.74
CAT IT FUENTE DE AGUA .43742W-CE.,Hasta 30 grados,0.9233,0.009887,1,131.46,105.17,105.17
SD PUPPY H. DEVELOPMENT SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0053,12,59.54,41.68,500.14
SD PUPPY H. DEVELOPMENT 15.5 LB .7 K.,Hasta 30 grados,7.03,0.0182,2,158.94,111.26,222.52
SD CANINE ADULT SMB 5 LB .2.27 K.,Hasta 30 grados,2.26,0.006,12,60.52,42.36,508.37
SD CANINE 7 . ACTIVE LONGEVITY SMB 5 LB .2.25 K.,Hasta 30 grados,2.26,0.006,12,60.52,42.36,508.37
SD CANINE ADULT L.R SMB 4.5 LB .2 K.,Hasta 30 grados,2.04,0.0051,20,54.68,38.28,765.52
SD CANINE ADULT SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.0203,10,143.64,100.55,"1,005.48"
SD CANINE 7 . ACTIVE LONGEVITY SMB 17.5 LB .8 K.,Hasta 30 grados,7.94,0.02,6,148.43,103.9,623.41
SD FELINE ADULT INDOOR 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,4,66.38,46.47,185.86
SD FELINE ADULT OPTIMAL CARE 4 LB .1.8 K. .6797C.,Hasta 30 grados,1.8,0.00415,8,63.56,44.49,355.94
SD FELINE 7. ACTIVE LONGEVITY 4 LB .1.8 K.?,Hasta 30 grados,1.81,0.004,4,68.33,47.83,191.32
SD KITTEN H. DEVELOPMENT 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00345,4,66.38,46.47,185.86
SD FELINE ADULT HAIRBALL CONTROL 3.5 LB .1.6 K.,Hasta 30 grados,1.58,0.00435,12,65.41,45.79,549.44
SD FELINE ADULT HAIRBALL CONTROL 7 LB .3.2 K.,Hasta 30 grados,3.17,0.00765,4,123.01,86.11,344.43
