Nombre_Articulo,Temperatura,Peso_Bruto,Volumen,Cantidad,Precio_unitario,Precio_descontado,Total_Linea_Soles
PD CANINE U.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.009563,2,102.53,82.02,164.05
PD CANINE W.D DRY 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.015876,2,96.12,76.9,153.79
PD CANINE I.D LOW FAT 8.5 LB .3.9 K.,Hasta 30 grados,3.85,0.00777,4,119.81,83.87,335.47
VT ANALITO CA X 12 .98-24004-US.,De 2 a 8 grados,0.001,0.0002,1,231.68,162.18,162.18
RECOMBITEK C6 X 1 DS,De 2 a 8 grados,0.0001,0.000042,50,15.48,10.84,541.8
SNAP COMBO FELINO X 5 UND .99-08410.,De 2 a 8 grados,0.0001,0.000005,6,491.18,343.83,"2,062.96"
SNAP PARVO X 5 UND .99-09214.,De 2 a 8 grados,0.037,0.000333,1,498.42,348.89,348.89
SNAP 4 DX PLUS X 5 UNID,De 2 a 8 grados,0.0001,0.0001,4,430.99,301.69,"1,206.77"
VT ANALITO ALB X 25 .98-20358-US.,De 2 a 8 grados,0.0001,0.000624,1,427.72,299.4,299.4
SNAP GIARDIA UNIDAD,De 2 a 8 grados,0.0001,0.0001,3,59.76,41.83,125.5
IMRAB 3 TF X 1 DS,De 2 a 8 grados,0.003,0.000021,50,8.03,5.62,281.05
RECOMBITEK C6 X 1 DS,De 2 a 8 grados,0.0001,0.000042,75,15.48,10.84,812.7
SNAP COMBO FELINO X 5 UND .99-08410.,De 2 a 8 grados,0.0001,0.000005,7,491.18,343.83,"2,406.78"
SNAP PARVO X 5 UND .99-09214.,De 2 a 8 grados,0.037,0.000333,1,498.42,348.89,348.89
SNAP 4 DX PLUS X 5 UNID,De 2 a 8 grados,0.0001,0.0001,11,430.99,301.69,"3,318.62"
SNAP 4 DX PLUS X 5 UNID,De 2 a 8 grados,0.0001,0.0001,6,344.79,344.79,"2,068.74"
SNAP FPL X 5 UNID,De 2 a 8 grados,0.0001,0.0001,2,428,299.6,599.2
